class_year,rank,first_name,last_name,position,height,weight,high_school,state,stars,commitment
2024,1,Cooper,Flagg,PF,6-9,195,Montverde Academy,FL,5,Duke
2024,2,Ace,Bailey,SF,6-8,195,McEachern,GA,5,Rutgers
2024,3,Dylan,Harper,CG,6-6,210,Don Bosco Prep,NJ,5,Rutgers
2024,4,Khaman,Maluach,C,7-1,250,NBA Academy Africa,SUDA,5,Duke
2024,5,VJ,Edgecombe,SG,6-5,180,Long Island Lutheran,NY,5,Baylor
2024,6,Tre,Johnson,SG,6-6,190,Link Academy,TX,5,Texas
2024,7,Jalil,Bethea,SG,6-4,170,Archbishop Wood,PA,5,Miami
2024,8,Ian,Jackson,SG,6-5,185,Our Saviour Lutheran School,NY,5,North Carolina
2024,9,Jayden,Quaintance,C,6-9,230,Word Of God Christian Academy,NC,5,Arizona State
2024,10,Liam,McNeeley,SF,6-7,210,Montverde Academy,FL,5,UConn
2024,11,Drake,Powell,SF,6-6,195,Northwood,NC,5,North Carolina
2024,12,Derik,Queen,C,6-10,240,Montverde Academy,MD,5,Maryland
2024,13,Isaiah,Evans,SF,6-6,170,North Mecklenburg,NC,5,Duke
2024,14,Flory,Bidunga,C,6-8,215,Kokomo,IN,5,Kansas
2024,15,Donnie,Freeman,PF,6-9,190,IMG Academy,FL,5,Syracuse
2024,16,Egor,Demin,CG,6-8,190,Russia,RUSS,5,BYU
2024,17,Derrion,Reid,PF,6-7,180,Prolific Prep,CA,5,Alabama
2024,18,Kon,Knueppel,SF,6-5,205,Wisconsin Lutheran,WI,5,Duke
2024,19,Asa,Newell,PF,6-9,205,Montverde Academy,FL,5,Georgia
2024,20,Will,Riley,SF,6-8,180,The Phelps School,PA,5,Illinois
2024,21,Patrick,Ngongba II,C,6-11,235,Paul VI Catholic,VA,4,Duke
2024,22,Boogie,Fland,CG,6-2,170,Archbishop Stepinac,NY,4,Arkansas
2024,23,Rob,Wright,PG,6-0,165,Montverde Academy,FL,4,Baylor
2024,24,Joson,Sanon,SG,6-5,188,Vermont Academy,VT,4,Arizona State
2024,25,Karter,Knox,SF,6-5,225,Overtime Elite,GA,4,Arkansas
2024,26,Annor,Boateng,SF,6-6,210,Little Rock Central,AR,4,Missouri
2024,27,Billy,Richmond,SF,6-5,200,Camden,NJ,4,Arkansas
2024,28,Carter,Bryant,PF,6-8,225,Centennial,CA,4,Arizona
2024,29,Tahaad,Pettiford,PG,6-1,170,Hudson Catholic,NJ,4,Auburn
2024,30,Bryson,Tucker,SF,6-6,180,Bishop O'Connell,VA,4,Indiana
2024,31,Morez,Johnson Jr.,C,6-9,235,Thornton Township,IL,4,Illinois
