"Team","total_wins","total_losses","win_pct","total_pts","total_opp_pts","avg_fgpct","avg_opp_fgpct","total_rebounds","total_turnovers","total_assists"
"Rutgers",139,167,0.454248366013072,21401,21811,0.42098427672956,0.424421383647799,10682,3738,3938
"SIU Edwardsville",119,174,0.406143344709898,21276,22178,0.422845901639344,0.445613114754098,9821,3945,3682
"Sacramento State",112,177,0.387543252595156,20848,21463,0.447788778877888,0.455712871287129,9412,3622,4021
"Sacred Heart",121,164,0.424561403508772,22241,22634,0.443986798679868,0.446006600660066,10147,4032,4271
"Saint Francis (PA)",129,161,0.444827586206897,21921,22348,0.444045602605863,0.448931596091205,9833,3822,3985
"Saint Joseph's",151,147,0.506711409395973,22617,22415,0.427644444444444,0.429542857142857,10326,3524,4228
"Saint Louis",156,154,0.503225806451613,22082,22039,0.439918238993711,0.432003144654088,10279,3928,4402
"Saint Mary's (CA)",246,72,0.773584905660377,23571,20117,0.473326219512195,0.420844512195122,10891,3278,4693
"Saint Peter's",143,147,0.493103448275862,19879,19792,0.415504854368932,0.414190938511327,9782,3797,3429
"Sam Houston",112,83,0.574358974358974,14916,14350,0.436217821782178,0.436490099009901,6789,2522,3001
"Sam Houston State",86,38,0.693548387096774,9416,8061,0.4388671875,0.40421875,4478,1634,1853
"Samford",163,129,0.558219178082192,24673,23864,0.462703470031546,0.446066246056782,10017,4195,4660
"San Diego",125,166,0.429553264604811,20894,21791,0.428559210526316,0.450121710526316,9334,3672,3782
"San Diego State",207,87,0.704081632653061,21476,19188,0.43812292358804,0.397063122923588,10069,3396,3848
"San Francisco",189,125,0.601910828025478,24101,22574,0.451941538461538,0.433809230769231,10708,3777,4402
"San Jose State",87,209,0.293918918918919,20431,22585,0.421973770491803,0.454931147540984,9539,3889,3881
"Santa Clara",161,135,0.543918918918919,22160,21887,0.447155339805825,0.443032362459547,9756,3550,4308
"Savannah State",58,90,0.391891891891892,11349,NA,0.404709677419355,NA,4893,2287,2084
"Seattle",168,137,0.550819672131148,22580,21564,0.429424528301887,0.413959119496855,10495,3975,4150
"Seton Hall",178,132,0.574193548387097,23298,22494,0.440583333333333,0.429478395061728,10924,3988,4123
"Siena",130,156,0.454545454545455,21109,21745,0.437370491803279,0.447406557377049,9642,3883,3756
"South Alabama",157,146,0.518151815181518,22951,22518,0.441772585669782,0.424716510903427,10141,3883,3840
"South Carolina",167,139,0.545751633986928,22490,22084,0.42025786163522,0.425503144654088,10443,4048,4191
"South Carolina State",109,186,0.369491525423729,21755,23323,0.423185064935065,0.465353896103896,9701,4156,3842
"South Carolina Upstate",110,191,0.365448504983389,22426,23323,0.443160256410256,0.452205128205128,9759,3887,4269
"South Dakota",163,142,0.534426229508197,23904,23402,0.45248253968254,0.444349206349206,10165,3442,4008
"South Dakota State",220,96,0.69620253164557,25722,23445,0.475858895705521,0.429386503067485,10965,3696,4286
"South Florida",122,178,0.406666666666667,21133,22088,0.425394904458599,0.428828025477707,10149,4116,3912
"Southeast Missouri State",122,173,0.413559322033898,22653,23204,0.438495207667732,0.455945686900958,9746,3981,4163
"Southeastern Louisiana",147,158,0.481967213114754,22724,22969,0.446662460567823,0.448334384858044,9993,4455,4295
"Southern",151,150,0.501661129568106,21974,21802,0.433319488817891,0.431,9953,4155,3842
"Southern California",195,126,0.607476635514019,25278,23894,0.460193452380952,0.422458333333333,11141,3958,4962
"Southern Illinois",164,141,0.537704918032787,21677,21325,0.4505,0.443880503144654,9520,3788,4028
"Southern Indiana",33,59,0.358695652173913,6839,6986,0.424378947368421,0.435642105263158,3176,1148,1125
"Southern Methodist",173,99,0.636029411764706,20522,18662,0.457286231884058,0.415268115942029,9362,3166,4184
"Southern Mississippi",122,174,0.412162162162162,20982,21822,0.433641935483871,0.435996774193548,9631,3766,4162
"Southern Utah",126,166,0.431506849315068,23617,23842,0.444331189710611,0.45775884244373,10066,3958,3807
"St. Bonaventure",190,106,0.641891891891892,22166,20934,0.443048387096774,0.424848387096774,9857,3442,3968
"St. Francis (NY)",99,126,0.44,16478,17015,0.406373443983402,0.44956846473029,7867,2965,2829
"St. John's (NY)",153,124,0.552346570397112,22244,21538,0.442907216494845,0.435838487972509,9777,3507,4340
"St. Thomas",63,37,0.63,7676,7000,0.47112,0.45147,2829,907,1400
"St. Thomas (MN)",10,20,0.333333333333333,2241,2260,0.4414,0.495466666666667,801,225,377
"Stanford",157,152,0.508090614886731,23027,22757,0.44719937694704,0.439613707165109,10437,4026,4270
"Stephen F. Austin",172,97,0.639405204460966,20837,19198,0.463627240143369,0.434663082437276,8944,4110,3976
"Stetson",115,179,0.391156462585034,23203,24177,0.441038095238095,0.456396825396825,9949,3641,4302
"Stonehill",33,60,0.354838709677419,6241,6759,0.425882978723404,0.438202127659574,2760,1167,1207
"Stony Brook",164,144,0.532467532467532,22156,21816,0.426934169278997,0.428087774294671,10647,3692,3949
"Syracuse",178,133,0.572347266881029,23866,23011,0.44390273556231,0.424203647416413,10520,3767,4504
"TCU",154,109,0.585551330798479,20096,19116,0.450659340659341,0.440695970695971,9049,3392,4199
"Tarleton State",77,72,0.516778523489933,10533,10208,0.44271052631579,0.437901315789474,4325,1817,1900
"Temple",161,131,0.551369863013699,21972,21771,0.416221153846154,0.427205128205128,10167,3327,3997
"Tennessee",221,104,0.68,24927,22348,0.442287833827893,0.406540059347181,11407,3754,5129
"Tennessee State",134,158,0.458904109589041,21710,21729,0.438609836065574,0.430695081967213,9932,4220,3553
"Tennessee Tech",120,176,0.405405405405405,22322,23026,0.437480769230769,0.448753205128205,9933,4088,4367
"Tennessee-Martin",144,156,0.48,23488,23457,0.442657232704402,0.440037735849057,10729,4007,4206
"Texas",169,113,0.599290780141844,22056,20469,0.451079470198676,0.42332119205298,9746,3381,3973
"Texas A&M",195,121,0.617088607594937,23369,21929,0.439329192546584,0.41567701863354,11361,3998,4409
"Texas A&M-Commerce",10,18,0.357142857142857,2362,2421,0.456363636363636,0.46069696969697,961,406,474
"Texas A&M-Corpus Christi",179,131,0.57741935483871,23307,22212,0.446610591900312,0.427420560747664,10513,4230,4307
"Texas Christian",30,26,0.535714285714286,3987,3910,0.438423728813559,0.423406779661017,1944,736,773
"Texas Southern",152,128,0.542857142857143,21732,21514,0.438850847457627,0.430840677966102,10038,3907,3745
"Texas State",174,132,0.568627450980392,21851,20921,0.44335625,0.427928125,10057,3784,4085
"Texas Tech",208,108,0.658227848101266,24373,21922,0.45585628742515,0.41287125748503,10725,3796,4566
"Texas-Arlington",29,26,0.527272727272727,4136,4033,0.425228070175439,0.418350877192982,1935,742,755
"Texas-El Paso",34,21,0.618181818181818,3980,3748,0.448842105263158,0.425087719298246,1822,656,737
"Texas-Rio Grande Valley",112,184,0.378378378378378,22134,23294,0.427575163398693,0.448983660130719,9645,4209,4452
"Texas-San Antonio",28,27,0.509090909090909,4170,4017,0.434589285714286,0.440714285714286,1895,665,753
"The Citadel",77,164,0.319502074688797,19705,20782,0.430214285714286,0.47272619047619,8068,3211,3632
"Toledo",207,105,0.663461538461538,25977,24054,0.471966360856269,0.44519877675841,10901,3582,4928
"Towson",163,129,0.558219178082192,22000,21123,0.436285256410256,0.426913461538462,10818,3625,3510
"Troy",157,147,0.516447368421053,23062,22319,0.433672955974843,0.430100628930818,10562,4144,4036
"Tulane",117,169,0.409090909090909,21750,22244,0.429736842105263,0.436855263157895,9393,3605,4094
"Tulsa",142,154,0.47972972972973,21442,21577,0.434384364820847,0.428495114006515,9705,3726,3851
"UAB",175,86,0.670498084291188,21360,19518,0.463224637681159,0.428079710144928,9692,3202,4104
"UC Davis",123,109,0.530172413793103,17291,17091,0.440979919678715,0.432983935742972,7595,3309,2995
"UC Irvine",186,81,0.696629213483146,20140,18261,0.454514388489209,0.391737410071942,9842,3395,3858
"UC Riverside",114,132,0.463414634146341,17578,17824,0.425407843137255,0.441933333333333,8181,3026,3268
"UC San Diego",72,50,0.59016393442623,9400,8688,0.450574803149606,0.436196850393701,3784,1273,1733
"UC Santa Barbara",144,97,0.597510373443983,18109,17161,0.460745019920319,0.432446215139442,8175,2905,3571
"UC-Davis",30,14,0.681818181818182,3558,3357,0.4741,0.43302,1413,674,620
"UC-Irvine",17,8,0.68,1950,1712,0.448592592592593,0.385259259259259,971,340,319
"UC-Riverside",26,22,0.541666666666667,3569,3450,0.431452830188679,0.415981132075472,1718,653,707
"UC-San Diego",6,10,0.375,1214,1226,0.458823529411765,0.458058823529412,463,222,294
"UC-Santa Barbara",38,15,0.716981132075472,4309,3808,0.4576,0.4182,1921,639,941
"UCF",37,33,0.528571428571429,5317,5216,0.424214285714286,0.432914285714286,2343,829,891
"UCLA",189,90,0.67741935483871,22987,20926,0.46266220735786,0.424923076923077,10193,3238,4550
"UNC Asheville",146,99,0.595918367346939,19672,18785,0.460003802281369,0.442802281368821,8199,3217,3594
"UNC Greensboro",167,89,0.65234375,19472,17947,0.449670411985019,0.421044943820225,8744,3114,3631
"UNC Wilmington",156,90,0.634146341463415,20355,19249,0.451908745247148,0.452863117870722,8879,2851,3592
"UT Arlington",136,114,0.544,19493,18731,0.435507575757576,0.420333333333333,9294,3574,3931
"UTEP",113,129,0.466942148760331,17848,17745,0.442992125984252,0.437818897637795,7920,3317,3231
"UTSA",95,155,0.38,18883,19693,0.414720930232558,0.450643410852713,8745,3118,3159
"University of California",26,35,0.426229508196721,4092,4229,0.436435483870968,0.44391935483871,1895,709,758
"Utah",159,121,0.567857142857143,21702,20396,0.461367697594502,0.427264604810997,9714,3464,4475
"Utah State",203,112,0.644444444444444,24457,22413,0.46840490797546,0.425042944785276,10736,3845,5201
"Utah Tech",31,64,0.326315789473684,6994,7317,0.445360824742268,0.459082474226804,2981,1360,1253
"Utah Valley",179,125,0.588815789473684,23421,22191,0.453465408805031,NA,11181,4254,4800
"VMI",96,198,0.326530612244898,22308,23636,0.423277777777778,0.455558823529412,9865,3931,3913
"Valparaiso",134,141,0.487272727272727,20697,20409,0.438638225255973,0.438682593856655,9377,3455,3763
"Vanderbilt",150,162,0.480769230769231,23279,22903,0.435364197530864,0.435478395061728,10344,3744,4089
"Vermont",232,85,0.73186119873817,23307,20660,0.472439628482972,0.420684210526316,10118,3442,4306
"Villanova",222,79,0.737541528239203,23516,20589,0.462784565916399,0.424916398713826,9810,3032,4304
"Virginia",211,76,0.735191637630662,19932,17598,0.460794612794613,0.410053872053872,8760,2566,4292
"Virginia Commonwealth",207,80,0.721254355400697,21900,19691,0.452263333333333,0.41331,9813,3786,4250
"Virginia Tech",175,130,0.573770491803279,23623,22335,0.465857142857143,0.437254658385093,9665,3648,4597
"Wagner",158,119,0.570397111913357,20045,19367,0.417969387755102,0.42571768707483,9917,3569,3672
"Wake Forest",150,150,0.5,23060,22827,0.447745980707396,0.442090032154341,10203,3825,4115
"Washington",149,153,0.493377483443709,23282,23427,0.443457413249211,0.441362776025237,9932,4021,3959
"Washington State",143,160,0.471947194719472,22894,23156,0.446678233438486,0.447671924290221,10041,3918,4348
"Weber State",174,124,0.583892617449664,23773,22160,0.469901898734177,0.439879746835443,9907,3697,3904
"West Virginia",173,119,0.592465753424658,22746,21318,0.43450495049505,0.43719801980198,10070,3686,4199
"Western Carolina",115,182,0.387205387205387,22551,23678,0.426548895899054,0.445145110410095,10578,4212,3909
"Western Illinois",116,161,0.418772563176895,20511,21014,0.436494809688581,0.441723183391003,9555,3388,3427
"Western Kentucky",188,125,0.600638977635783,24465,23446,0.45461094224924,0.428215805471125,11061,4020,4338
"Western Michigan",108,184,0.36986301369863,21913,22866,0.435838187702265,0.454177993527508,10069,3788,3775
"Wichita State",182,96,0.654676258992806,21476,19632,0.439924137931034,0.410365517241379,10145,3278,4037
"William & Mary",135,153,0.46875,22445,22489,0.457625,0.453088815789474,9550,3639,4495
"Winthrop",197,103,0.656666666666667,24658,22729,0.466990415335463,0.430271565495208,10425,4075,4091
"Wisconsin",187,103,0.644827586206897,21822,20181,0.442311688311688,0.43124025974026,9695,2900,3890
"Wofford",166,112,0.597122302158273,21925,20426,0.465768965517241,0.451262068965517,9117,3210,4278
"Wright State",183,128,0.588424437299035,24248,22846,0.469031055900621,0.441875776397516,10319,3920,4639
"Wyoming",126,142,0.470149253731343,20820,20962,0.443003496503497,0.441730769230769,8773,3439,3598
"Xavier",190,96,0.664335664335664,23063,21435,0.465392617449664,0.434687919463087,10229,3532,4835
"Yale",178,84,0.679389312977099,20516,18528,0.468534798534799,0.421069597069597,9328,3197,4115
"Youngstown State",149,153,0.493377483443709,24486,24409,0.442890965732087,0.457361370716511,10523,3767,4535
