class_year,rank,first_name,last_name,position,height,weight,high_school,state,stars,commitment
2022,1,Nick,Smith,CG,6-4,185,North Little Rock,AR,5,Arkansas
2022,2,Dereck,Lively II,C,7-1,220,Westtown School,PA,5,Duke
2022,3,Dariq,Whitehead,SF,6-6,190,Montverde Academy,NJ,5,Duke
2022,4,Kyle,Filipowski,C,6-11,230,Wilbraham & Monson Academy,MA,5,Duke
2022,5,Cason,Wallace,CG,6-4,185,Richardson,TX,5,Kentucky
2022,6,GG,Jackson,PF,6-9,210,Ridge View,SC,5,South Carolina
2022,7,Kel'el,Ware,C,7-0,210,North Little Rock,AR,5,Oregon
2022,8,Dillon,Mitchell,SF,6-7,200,Montverde Academy,FL,5,Texas
2022,9,Keyonte,George,SG,6-4,185,IMG Academy,TX,5,Baylor
2022,10,Amari,Bailey,CG,6-5,190,Sierra Canyon,CA,5,UCLA
2022,11,Cam,Whitmore,SF,6-6,200,Archbishop Spalding,MD,5,Villanova
2022,12,Jarace,Walker,PF,6-8,220,IMG Academy,FL,5,Houston
2022,13,Mark,Mitchell,PF,6-8,205,Sunrise Christian Academy,KS,5,Duke
2022,14,Brandon,Miller,SF,6-8,200,Cane Ridge,TN,5,Alabama
2022,15,Anthony,Black,PG,6-7,185,Duncanville,TX,5,Arkansas
2022,16,Chris,Livingston,SF,6-6,200,Oak Hill Academy,VA,5,Kentucky
2022,17,Adem,Bona,C,6-9,225,Prolific Prep,CA,5,UCLA
2022,18,Arterio,Morris,PG,6-3,190,Kimball,TX,5,Texas
2022,19,Julian,Phillips,SF,6-8,200,Link Academy,MO,5,Tennessee
2022,20,Jordan,Walsh,SF,6-7,190,Link Academy,TX,5,Arkansas
2022,21,Gradey,Dick,SF,6-7,195,Sunrise Christian Academy,KS,5,Kansas
2022,22,JJ,Starling,CG,6-4,180,La Lumiere School,NY,5,Notre Dame
2022,23,Tyrese,Proctor,PG,6-4,170,NBA Global Academy,AUST,5,Duke
2022,24,Yohan,Traore,C,6-10,225,Dream City Christian,AZ,5,Auburn
2022,25,Kylan,Boswell,PG,6-1,180,Compass Prep,AZ,5,Arizona
2022,26,Jalen,Hood-Schifino,CG,6-5,210,Montverde Academy,FL,4,Indiana
2022,27,Jaden,Bradley,PG,6-3,185,IMG Academy,FL,4,Alabama
2022,28,Vincent,Iwuchukwu,C,7-0,220,SoCal Academy,CA,4,USC
2022,29,Leonard,Miller,SF,6-9,195,Fort Erie International Academy,ON,4,Professional
2022,30,Seth,Trimble,PG,6-3,185,Menomonee Falls,WI,4,North Carolina
2022,31,Terrance,Arceneaux,SF,6-7,190,Beaumont United,TX,4,Houston
2022,32,Ernest,Udeh Jr.,C,6-10,230,Dr. Phillips,FL,4,Kansas
2022,33,Collin,Chandler,CG,6-4,170,Farmington,UT,4,Kentucky
2022,34,Skyy,Clark,PG,6-3,200,Montverde Academy,FL,4,Illinois
2022,35,Tre,White,SF,6-6,190,Prolific Prep,CA,4,USC
2022,36,Henri,Veesaar,C,6-10,200,Estonia,ESTO,4,Arizona
2022,37,MJ,Rice,SF,6-5,225,Prolific Prep,CA,4,Kansas
2022,38,Malik,Reneau,PF,6-8,210,Montverde Academy,FL,4,Indiana
2022,39,Ugonna,Onyenso,C,7-0,233,Putnam Science Academy,CT,4,Kentucky
2022,40,Tarris,Reed Jr.,C,6-10,260,Link Academy,MO,4,Michigan
2022,41,Tyrell,Ward,SF,6-7,185,DeMatha Catholic,MD,4,LSU
2022,42,Dylan,Andrews,PG,6-3,180,Compass Prep,AZ,4,UCLA
2022,43,Rylan,Griffen,SG,6-5,180,Richardson,TX,4,Alabama
2022,44,Chance,Westry,SF,6-6,190,Compass Prep,AZ,4,Auburn
2022,45,Jett,Howard,SF,6-7,220,IMG Academy,FL,4,Michigan
2022,46,Freddie,Dilione,CG,6-4,185,Word Of God Christian Academy,NC,4,Tennessee
2022,47,Zuby,Ejiofor,PF,6-8,215,Garland,TX,4,Kansas
2022,48,Isaiah,Miranda,C,7-0,200,SoCal Academy,CA,4,NC State
2022,49,Baba,Miller,C,6-11,204,Spain,SPAI,4,Florida State
2022,50,Roddy,Gayle Jr.,SG,6-4,195,Wasatch Academy,UT,4,Ohio State
